nom;code_commune;Societaires
Bagnolet;93006;5
Bobigny;93008;0
Bondy;93010;0
Le Pré Saint-Gervais;93061;9
Les Lilas;93045;62
Montreuil;93048;9
Noisy-Le-Sec;93053;10
Pantin;93055;26
Romainville;93063;1
